ts,t_s,batt.capacity_pct,batt.charge_uah,batt.current_ua,batt.power_mw,batt.voltage_uv,power_mw_calc
7416613137803488,38.001619618,34.0,1642000.0,-1897000.0,7.0,3922.0,-7440.034000000001
7416613387775257,38.251591387,34.0,1642000.0,-1897000.0,7.0,3922.0,-7440.034000000001
7416613638410949,38.502227079,34.0,1642000.0,-1898000.0,7.0,3920.0,-7440.16
7416613887927488,38.751743618,34.0,1642000.0,-1898000.0,7.0,3920.0,-7440.16
7416614138101411,39.001917541,34.0,1642000.0,-1898000.0,7.0,3920.0,-7440.16
7416614388706565,39.252522695,34.0,1642000.0,-1898000.0,7.0,3920.0,-7440.16
7416614638082026,39.501898156,34.0,1642000.0,-1882000.0,7.0,3919.0,-7375.558
7416614888706565,39.752522695,34.0,1642000.0,-1882000.0,7.0,3919.0,-7375.558
7416615137930641,40.001746771,34.0,1642000.0,-1882000.0,7.0,3919.0,-7375.558
7416615388179257,40.251995387,34.0,1642000.0,-1882000.0,7.0,3919.0,-7375.558
7416615638366334,40.502182464,34.0,1642000.0,-1897000.0,7.0,3920.0,-7436.24
7416615888215488,40.752031618,34.0,1642000.0,-1897000.0,7.0,3920.0,-7436.24
7416616138256103,41.002072233,34.0,1642000.0,-1897000.0,7.0,3920.0,-7436.24
7416616388030026,41.251846156,34.0,1642000.0,-1897000.0,7.0,3920.0,-7436.24
7416616637704411,41.501520541,34.0,1642000.0,-1865000.0,7.0,3919.0,-7308.935
7416616888321719,41.752137849,34.0,1642000.0,-1865000.0,7.0,3919.0,-7308.935
7416617137673642,42.001489772,34.0,1642000.0,-1865000.0,7.0,3919.0,-7308.935
7416617388093026,42.251909156,34.0,1645000.0,-1865000.0,7.0,3919.0,-7308.935
7416617637641334,42.501457464,34.0,1645000.0,-1879000.0,7.0,3919.0,-7363.801
7416617887823795,42.751639925,34.0,1645000.0,-1879000.0,7.0,3919.0,-7363.801
7416618137440103,43.001256233,34.0,1645000.0,-1879000.0,7.0,3919.0,-7363.801
7416618387381719,43.251197849,34.0,1645000.0,-1879000.0,7.0,3919.0,-7363.801
7416618637892103,43.501708233,34.0,1645000.0,-1794000.0,7.0,3916.0,-7025.303999999999
7416618888144411,43.751960541,34.0,1645000.0,-1794000.0,7.0,3916.0,-7025.303999999999
7416619137887488,44.001703618,34.0,1645000.0,-1794000.0,7.0,3916.0,-7025.303999999999
7416619387634873,44.251451003,34.0,1645000.0,-1794000.0,7.0,3916.0,-7025.303999999999
7416619637565411,44.501381541,34.0,1645000.0,-1983000.0,7.0,3921.0,-7775.343000000001
