run_id,seq,ts_pc,scenario,note,battery_level,battery_scale,battery_voltage_mv,battery_temp_deciC,charge_counter_uAh,brightness,battery_updates_stopped,adb_error,batteryproperties_current_now_uA,batteryproperties_current_average_uA,batteryproperties_energy_counter,batteryproperties_charge_counter_uAh,display_state,thermal_status,thermal_battery_C,thermal_cpu_C,thermal_gpu_C,thermal_npu_C,thermal_power_amplifier_C,thermal_skin_C,thermal_soc_C,thermal_tpu_C,cpu_p0_freq1000000_dt,cpu_p0_freq1100000_dt,cpu_p0_freq1200000_dt,cpu_p0_freq1300000_dt,cpu_p0_freq1400000_dt,cpu_p0_freq1500000_dt,cpu_p0_freq1600000_dt,cpu_p0_freq1700000_dt,cpu_p0_freq1800000_dt,cpu_p0_freq1900000_dt,cpu_p0_freq2000000_dt,cpu_p0_freq2100000_dt,cpu_p0_freq2200000_dt,cpu_p0_freq480000_dt,cpu_p0_freq600000_dt,cpu_p0_freq700000_dt,cpu_p0_freq800000_dt,cpu_p0_freq900000_dt,cpu_p4_freq1000000_dt,cpu_p4_freq1100000_dt,cpu_p4_freq1200000_dt,cpu_p4_freq1300000_dt,cpu_p4_freq1400000_dt,cpu_p4_freq1500000_dt,cpu_p4_freq1600000_dt,cpu_p4_freq1700000_dt,cpu_p4_freq1800000_dt,cpu_p4_freq1900000_dt,cpu_p4_freq2000000_dt,cpu_p4_freq2100000_dt,cpu_p4_freq2200000_dt,cpu_p4_freq2300000_dt,cpu_p4_freq2400000_dt,cpu_p4_freq2500000_dt,cpu_p4_freq2600000_dt,cpu_p4_freq2660000_dt,cpu_p4_freq2800000_dt,cpu_p4_freq2850000_dt,cpu_p4_freq2900000_dt,cpu_p4_freq3000000_dt,cpu_p4_freq3100000_dt,cpu_p4_freq3200000_dt,cpu_p4_freq400000_dt,cpu_p4_freq500000_dt,cpu_p4_freq600000_dt,cpu_p4_freq700000_dt,cpu_p4_freq800000_dt,cpu_p4_freq900000_dt,cpu_p7_freq1000000_dt,cpu_p7_freq1100000_dt,cpu_p7_freq1200000_dt,cpu_p7_freq1300000_dt,cpu_p7_freq1400000_dt,cpu_p7_freq1500000_dt,cpu_p7_freq1600000_dt,cpu_p7_freq1700000_dt,cpu_p7_freq1800000_dt,cpu_p7_freq1900000_dt,cpu_p7_freq2000000_dt,cpu_p7_freq2100000_dt,cpu_p7_freq2200000_dt,cpu_p7_freq2300000_dt,cpu_p7_freq2400000_dt,cpu_p7_freq2500000_dt,cpu_p7_freq2600000_dt,cpu_p7_freq2700000_dt,cpu_p7_freq2800000_dt,cpu_p7_freq2900000_dt,cpu_p7_freq3000000_dt,cpu_p7_freq3050000_dt,cpu_p7_freq3100000_dt,cpu_p7_freq3200000_dt,cpu_p7_freq3350000_dt,cpu_p7_freq400000_dt,cpu_p7_freq500000_dt,cpu_p7_freq600000_dt,cpu_p7_freq700000_dt,cpu_p7_freq800000_dt,cpu_p7_freq900000_dt
20260131_150336,28,2026-01-31T15:05:18+08:00,S2_b90,,38,100,3797,335,1830000,90,0,,,,,,,0,33.4,40.267,40.267,40.267,35.379,35.686,40.267,40.267,6,11,14,17,5,8,8,3,4,72,0,0,0,107,48,26,21,18,6,4,7,2,5,2,4,3,2,2,3,2,4,2,4,11,0,0,0,0,0,0,0,0,252,24,14,7,7,4,0,0,0,0,0,0,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,29,2026-01-31T15:05:22+08:00,S2_b90,,38,100,3797,335,1830000,90,0,,,,,,,0,33.4,39.915,39.915,39.915,35.363,35.678,39.915,39.915,13,18,13,16,9,8,5,3,9,53,0,0,0,102,41,30,26,18,6,8,4,3,3,4,5,4,3,2,3,4,2,3,3,16,0,0,0,0,0,0,0,0,235,19,14,5,7,7,0,0,0,0,0,0,0,0,355,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,30,2026-01-31T15:05:26+08:00,S2_b90,,38,100,3797,335,1830000,90,0,,,,,,,0,33.4,41.994,41.994,41.994,35.34,35.641,41.994,41.994,11,15,11,15,6,8,7,2,4,55,0,0,0,116,44,31,23,19,7,6,7,4,5,8,4,8,3,5,2,4,3,3,1,13,0,0,0,0,0,0,0,0,222,29,11,6,6,7,0,0,0,0,0,0,0,0,361,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,31,2026-01-31T15:05:29+08:00,S2_b90,,38,100,3797,335,1830000,90,0,,,,,,,0,33.4,40.208,40.208,40.193,35.314,35.611,40.193,40.193,13,13,13,8,6,6,4,3,4,67,0,0,0,119,41,28,17,21,10,6,5,6,8,5,8,4,4,5,4,4,3,2,3,8,0,0,0,0,0,0,0,0,231,19,11,7,8,8,0,0,0,0,0,0,0,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,32,2026-01-31T15:05:33+08:00,S2_b90,,38,100,3797,335,1830000,90,0,,,,,,,0,33.4,41.443,41.443,41.443,35.286,35.557,41.443,41.443,11,14,11,10,9,9,7,4,6,45,0,0,0,115,42,32,21,25,3,5,3,3,1,3,3,2,4,3,2,4,4,3,3,15,0,0,0,0,0,0,0,0,245,27,8,5,4,4,0,0,0,0,0,0,0,0,341,1,2,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,33,2026-01-31T15:05:37+08:00,S2_b90,,38,100,3797,335,1830000,90,0,,,,,,,0,33.4,45.086,45.086,43.872,35.274,35.591,41.292,41.292,10,12,17,18,8,6,3,5,5,62,0,0,0,107,36,28,23,19,6,3,5,2,3,2,4,1,14,2,1,3,4,1,2,11,0,0,0,0,0,0,0,0,241,25,11,9,5,5,0,0,0,0,0,0,0,0,360,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,34,2026-01-31T15:05:40+08:00,S2_b90,,38,100,3797,335,1830000,90,0,,,,,,,0,33.4,41.069,41.069,41.069,35.274,35.622,41.069,41.069,7,17,83,12,4,6,4,4,4,49,0,0,0,83,31,17,22,18,5,2,2,3,3,2,2,3,66,5,2,3,0,4,2,20,0,0,0,0,0,0,0,0,203,18,9,5,6,2,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,35,2026-01-31T15:05:44+08:00,S2_b90,,38,100,3797,335,1830000,90,0,,,,,,,0,33.3,39.863,39.863,39.863,35.26,35.583,39.863,39.863,10,13,12,13,5,6,12,3,7,51,0,0,0,124,41,26,20,21,8,4,6,9,5,5,9,3,4,3,3,5,1,2,2,10,0,0,0,0,0,0,0,0,221,27,15,4,11,7,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,36,2026-01-31T15:05:47+08:00,S2_b90,,38,100,3797,335,1830000,90,0,,,,,,,0,33.3,39.544,39.544,39.544,35.237,35.563,39.544,39.544,9,17,16,10,6,10,4,2,3,62,0,0,0,110,37,28,28,20,6,5,3,4,6,9,5,4,4,4,1,6,3,4,1,11,0,0,0,0,0,0,0,0,235,21,11,5,7,3,0,0,0,0,0,0,0,0,358,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,37,2026-01-31T15:05:51+08:00,S2_b90,,38,100,3797,335,1830000,90,0,,,,,,,0,33.3,41.337,41.337,41.337,35.221,35.524,41.337,41.337,9,22,16,13,8,8,5,1,4,58,0,0,0,119,35,25,19,19,9,6,8,6,6,8,8,4,4,5,3,4,2,3,4,25,0,0,0,0,0,0,0,0,194,29,14,5,9,6,0,0,0,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
