run_id,seq,ts_pc,scenario,note,battery_level,battery_scale,battery_voltage_mv,battery_temp_deciC,charge_counter_uAh,brightness,battery_updates_stopped,adb_error,display_state,thermal_status,thermal_battery_C,thermal_cpu_C,thermal_gpu_C,thermal_npu_C,thermal_power_amplifier_C,thermal_skin_C,thermal_soc_C,thermal_tpu_C,cpu_p0_freq1000000_dt,cpu_p0_freq1100000_dt,cpu_p0_freq1200000_dt,cpu_p0_freq1300000_dt,cpu_p0_freq1400000_dt,cpu_p0_freq1500000_dt,cpu_p0_freq1600000_dt,cpu_p0_freq1700000_dt,cpu_p0_freq1800000_dt,cpu_p0_freq1900000_dt,cpu_p0_freq2000000_dt,cpu_p0_freq2100000_dt,cpu_p0_freq2200000_dt,cpu_p0_freq480000_dt,cpu_p0_freq600000_dt,cpu_p0_freq700000_dt,cpu_p0_freq800000_dt,cpu_p0_freq900000_dt,cpu_p4_freq1000000_dt,cpu_p4_freq1100000_dt,cpu_p4_freq1200000_dt,cpu_p4_freq1300000_dt,cpu_p4_freq1400000_dt,cpu_p4_freq1500000_dt,cpu_p4_freq1600000_dt,cpu_p4_freq1700000_dt,cpu_p4_freq1800000_dt,cpu_p4_freq1900000_dt,cpu_p4_freq2000000_dt,cpu_p4_freq2100000_dt,cpu_p4_freq2200000_dt,cpu_p4_freq2300000_dt,cpu_p4_freq2400000_dt,cpu_p4_freq2500000_dt,cpu_p4_freq2600000_dt,cpu_p4_freq2660000_dt,cpu_p4_freq2800000_dt,cpu_p4_freq2850000_dt,cpu_p4_freq2900000_dt,cpu_p4_freq3000000_dt,cpu_p4_freq3100000_dt,cpu_p4_freq3200000_dt,cpu_p4_freq400000_dt,cpu_p4_freq500000_dt,cpu_p4_freq600000_dt,cpu_p4_freq700000_dt,cpu_p4_freq800000_dt,cpu_p4_freq900000_dt,cpu_p7_freq1000000_dt,cpu_p7_freq1100000_dt,cpu_p7_freq1200000_dt,cpu_p7_freq1300000_dt,cpu_p7_freq1400000_dt,cpu_p7_freq1500000_dt,cpu_p7_freq1600000_dt,cpu_p7_freq1700000_dt,cpu_p7_freq1800000_dt,cpu_p7_freq1900000_dt,cpu_p7_freq2000000_dt,cpu_p7_freq2100000_dt,cpu_p7_freq2200000_dt,cpu_p7_freq2300000_dt,cpu_p7_freq2400000_dt,cpu_p7_freq2500000_dt,cpu_p7_freq2600000_dt,cpu_p7_freq2700000_dt,cpu_p7_freq2800000_dt,cpu_p7_freq2900000_dt,cpu_p7_freq3000000_dt,cpu_p7_freq3050000_dt,cpu_p7_freq3100000_dt,cpu_p7_freq3200000_dt,cpu_p7_freq3350000_dt,cpu_p7_freq400000_dt,cpu_p7_freq500000_dt,cpu_p7_freq600000_dt,cpu_p7_freq700000_dt,cpu_p7_freq800000_dt,cpu_p7_freq900000_dt
20260131_170612,20,2026-01-31T17:07:23+08:00,S2_b90,,24,100,3737,323,1167000,90,0,,ON,0,32.5,38.643,38.643,38.643,34.504,34.855,38.643,38.643,12,13,14,13,6,10,9,6,3,6,87,0,0,93,32,24,18,18,5,6,5,3,4,5,4,3,5,3,1,5,2,3,3,2,0,1,8,0,0,0,0,0,245,22,12,7,4,5,0,0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
20260131_170612,21,2026-01-31T17:07:26+08:00,S2_b90,,24,100,3737,323,1167000,90,0,,ON,0,32.5,41.188,40.176,40.845,34.516,34.817,40.845,40.845,8,15,11,18,5,8,5,5,4,5,59,0,0,102,36,21,22,29,6,5,7,5,6,5,2,2,4,1,1,4,3,4,2,1,2,1,9,0,0,0,0,0,234,22,8,6,5,4,0,0,0,0,0,0,0,0,343,1,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
20260131_170612,22,2026-01-31T17:07:30+08:00,S2_b90,,24,100,3737,323,1167000,90,0,,ON,0,32.5,38.716,38.716,38.716,34.516,34.855,38.716,38.716,9,17,7,9,4,7,5,3,3,2,50,0,0,135,42,23,21,13,6,2,4,3,1,2,7,2,1,1,2,0,2,2,0,1,0,1,2,0,0,0,0,0,275,22,12,6,6,3,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_170612,23,2026-01-31T17:07:33+08:00,S2_b90,,24,100,3737,323,1167000,90,0,,ON,0,32.5,38.309,38.309,38.263,34.528,34.884,38.105,38.105,10,17,15,11,4,12,4,3,4,3,47,0,0,124,31,26,23,23,5,4,4,4,4,4,6,4,3,2,4,6,4,2,2,0,1,2,7,0,0,0,0,0,220,23,16,6,10,7,0,0,0,0,0,0,0,0,342,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
20260131_170612,24,2026-01-31T17:07:37+08:00,S2_b90,,24,100,3737,323,1167000,90,0,,ON,0,32.5,39.644,39.644,38.711,34.54,35.038,38.711,38.711,13,13,16,11,4,17,6,3,3,3,66,0,0,90,38,26,22,20,7,3,6,3,7,5,4,4,4,5,2,2,2,4,2,1,1,0,9,0,0,0,0,0,219,26,14,7,8,5,0,0,0,0,0,0,0,0,317,1,0,1,0,0,0,1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
20260131_170612,25,2026-01-31T17:07:40+08:00,S2_b90,,24,100,3737,323,1167000,90,0,,ON,0,32.5,40.594,40.594,40.594,34.573,34.96,40.594,40.594,9,14,11,13,9,5,5,4,4,2,68,0,0,99,38,26,26,22,4,8,4,6,5,7,6,5,5,4,4,4,2,3,4,1,1,0,4,0,0,0,0,0,210,34,12,6,7,6,0,0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_170612,26,2026-01-31T17:07:44+08:00,S2_b90,,24,100,3737,323,1167000,90,0,,ON,0,32.5,45.58,45.58,45.58,34.575,34.904,45.58,45.58,12,20,18,11,4,5,8,4,3,2,65,0,0,97,36,29,25,18,6,5,5,3,4,5,4,4,3,2,1,2,2,4,2,2,1,1,4,0,0,0,0,0,233,23,23,7,12,4,0,0,0,0,0,0,0,0,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_170612,27,2026-01-31T17:07:47+08:00,S2_b90,,24,100,3737,323,1167000,90,0,,ON,0,32.5,39.026,39.026,39.026,34.566,34.893,39.026,39.026,10,7,9,10,4,6,8,5,6,5,94,0,0,98,30,25,21,19,4,3,6,1,5,4,2,1,0,2,2,0,2,0,0,1,0,0,1,0,0,0,0,0,259,27,9,8,9,9,0,0,0,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_170612,28,2026-01-31T17:07:51+08:00,S2_b90,,24,100,3737,323,1167000,90,0,,ON,0,32.5,38.552,38.552,38.552,34.566,34.901,38.552,38.552,8,20,12,10,4,4,4,2,5,4,53,0,0,122,35,31,21,15,7,3,6,2,3,5,4,2,4,5,1,3,4,3,2,0,1,0,9,0,0,0,0,0,216,30,16,6,7,11,0,0,0,0,0,0,0,0,351,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
20260131_170612,29,2026-01-31T17:07:55+08:00,S2_b90,,24,100,3737,323,1167000,90,0,,ON,0,32.5,39.942,39.942,39.942,34.564,34.893,39.848,39.848,8,15,10,12,7,7,7,5,5,2,44,0,0,119,41,24,23,21,10,6,8,4,5,6,4,5,6,4,4,5,4,3,2,4,0,1,2,0,0,0,0,0,211,23,12,9,6,6,0,0,0,0,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
