split,run_name,scenario,n_samples,p_meas_mean_mW,p_pred_mean_mW,p_rel_err_pct,rmse_soc_pct,model_tag,resid_mW,abs_err_mW,qc_keep,qc_reject_reasons,battery_level0_pct,battery_voltage0_mV,thermal_cpu0_C,thermal_batt0_C,thermal_status0,battery_plugged0
LOSO:S4-1,20260201_215338_S4-1,S4-1,150,1285.6590163318483,1590.7004779750132,23.726466953383,0.2782318654949594,v2_1state,-305.0414616431649,305.0414616431649,0,soc<50.0,43.0,3826.0,41.719,34.0,0.0,
LOSO:S4-1,20260202_004753_S4-1,S4-1,152,1788.08894574416,1781.700065599406,-0.3573021442786974,0.2683662523558918,v2_1state,6.388880144754012,6.388880144754012,1,,98.0,4377.0,42.568,34.9,0.0,
LOSO:S4-1,20260202_005707_S4-1,S4-1,152,1751.253697368421,1774.26868711332,1.3142007796747637,0.4008953029321482,v2_1state,-23.01498974489914,23.01498974489914,1,,97.0,4360.0,41.396,34.6,0.0,
LOSO:S1-HS-1,20260131_230812_S1-HS-1,S1-HS-1,319,1217.780708736924,2056.328775367747,68.8587083548532,1.0773501615324463,v2_2state,-838.5480666308229,838.5480666308229,1,,98.0,4376.0,42.083,35.1,0.0,
LOSO:S1-HS-2,20260201_174510_S1-HS-2,S1-HS-2,339,1103.2962390833045,1702.3736118824622,54.29886838886653,0.8083281093752049,v2_2state,-599.0773727991577,599.0773727991577,1,,62.0,4011.0,40.175,33.1,0.0,
LOSO:S2_b005,20260202_010635_S2_b005,S2_b005,150,1925.21624,1905.274605651436,-1.035812701671596,0.4375318420571868,v2_2state,19.941634348563866,19.941634348563866,1,,95.0,4348.0,49.404,34.5,0.0,
LOSO:S2_b010,20260202_011551_S2_b010,S2_b010,147,1925.7268299319728,1881.8028223361623,-2.280905417792912,0.2931696150848807,v2_2state,43.92400759581051,43.92400759581051,1,,94.0,4333.0,42.372,34.7,0.0,
LOSO:S2_b060,20260202_012509_S2_b060,S2_b060,147,1652.4545646258505,1884.5905394267927,14.04794901900999,0.5969308058539027,v2_2state,-232.13597480094222,232.13597480094222,1,,92.0,4314.0,41.86,34.7,0.0,
LOSO:S2_b150,20260201_185149_S2_b150,S2_b150,151,1673.8015393122892,1699.5023992301085,1.5354783296697765,0.373576005334863,v2_2state,-25.700859917819344,25.700859917819344,1,,54.0,3898.0,37.916,28.6,0.0,
LOSO:S2_b210,20260201_190712_S2_b210,S2_b210,151,1883.196119750428,1643.2924693319542,-12.739175060018038,0.3301108049864189,v2_2state,239.90365041847372,239.90365041847372,1,,51.0,3880.0,41.254,28.7,0.0,
LOSO:S2_b255,20260202_013427_S2_b255,S2_b255,147,1938.2774421768704,1801.9225261888585,-7.034850275865182,0.3105007052529226,v2_2state,136.35491598801195,136.35491598801195,1,,91.0,4310.0,47.072,34.2,0.0,
LOSO:S2_b30_1,20260201_193915_S2_b30_1,S2_b30_1,151,1635.9583673169138,1693.235476694736,3.5011349018472053,0.2861710471006158,v2_2state,-57.27710937782217,57.27710937782217,0,soc<50.0,46.0,3849.0,43.651,28.6,0.0,
LOSO:S2_b30_1,20260202_014345_S2_b30_1,S2_b30_1,148,1894.3651689189187,1872.5073861480037,-1.153831538371724,0.4539608378919299,v2_2state,21.857782770915037,21.857782770915037,1,,90.0,4282.0,45.777,34.4,0.0,
LOSO:S2_b30_1,20260202_015305_S2_b30_1,S2_b30_1,158,1735.795898734178,1865.083928384659,7.448342846342931,0.3517635351549985,v2_2state,-129.2880296504809,129.2880296504809,1,,88.0,4245.0,42.445,34.4,0.0,
LOSO:S2_b90,20260201_183735_S2_b90,S2_b90,151,1603.388382419604,1718.429974954994,7.1749049573245305,0.3642174818454352,v2_2state,-115.04159253538978,115.04159253538978,1,,56.0,3926.0,36.029,28.9,0.0,
LOSO:S3_load_t1,20260202_214935_S3_load_t1,S3_load_t1,149,1980.9037444119183,1989.6156725120663,0.4397956298848028,0.3642643601428358,v2_2state,-8.711928100148043,8.711928100148043,1,,77.0,4158.0,42.463,33.8,0.0,
LOSO:S3_load_t2,20260202_215851_S3_load_t2,S3_load_t2,143,2276.1716968400638,2080.3089899158444,-8.604917950439715,0.4305813283656799,v2_2state,195.8627069242193,195.8627069242193,1,,75.0,4136.0,43.149,33.6,0.0,
LOSO:S3_load_t4,20260201_204549_S3_load_t4,S3_load_t4,135,4175.206044444445,2418.6519899562904,-42.07107471559245,0.9651986384603568,v2_2state,1756.5540544881546,1756.5540544881546,0,soc<50.0;thermal_cpu0>60.0C,33.0,3735.0,77.008,37.3,0.0,
LOSO:S3_load_t4,20260202_220816_S3_load_t4,S3_load_t4,152,2475.564933818211,2311.383747136228,-6.6320694900439,0.552137980631104,v2_2state,164.18118668198304,164.18118668198304,1,,74.0,4116.0,49.719,34.0,0.0,
LOSO:S3_load_t6,20260202_221733_S3_load_t6,S3_load_t6,154,3031.8670064935063,2709.456134352254,-10.634070407795862,0.5882982789803375,v2_2state,322.4108721412522,322.4108721412522,1,,72.0,4087.0,50.803,34.9,0.0,
LOSO:S3_load_t8,20260202_222646_S3_load_t8,S3_load_t8,154,3553.9323498749723,2734.064677383288,-23.069310042452766,0.2851958497132019,v2_2state,819.8676724916841,819.8676724916841,1,,69.0,4046.0,57.426,36.3,0.0,
LOSO:S4,20260201_213514_S4,S4,149,1230.9903020134227,1710.0021607079411,38.912724000428014,0.5771259546180577,v2_2state,-479.0118586945184,479.0118586945184,0,soc<50.0,42.0,3825.0,47.154,37.8,0.0,
LOSO:S4,20260202_002928_S4,S4,152,2260.4441568109137,2361.7856324000254,4.483254995871546,0.5218076766354922,v2_2state,-101.34147558911172,101.34147558911172,1,,100.0,4389.0,49.132,35.1,0.0,
LOSO:S4,20260202_003841_S4,S4,152,1769.5886184210524,1880.9447327013784,6.292768450312804,0.4062481641583371,v2_2state,-111.35611428032598,111.35611428032598,1,,99.0,4377.0,46.745,35.7,0.0,
LOSO:S4-1,20260201_215338_S4-1,S4-1,150,1285.6590163318483,1753.6570372798426,36.40141087200969,0.3127413209052869,v2_2state,-467.9980209479943,467.9980209479943,0,soc<50.0,43.0,3826.0,41.719,34.0,0.0,
LOSO:S4-1,20260202_004753_S4-1,S4-1,152,1788.08894574416,1963.3967382196304,9.80419866096267,0.2905828914012398,v2_2state,-175.30779247547048,175.30779247547048,1,,98.0,4377.0,42.568,34.9,0.0,
LOSO:S4-1,20260202_005707_S4-1,S4-1,152,1751.253697368421,1956.45185017838,11.717214537123114,0.3760747027862879,v2_2state,-205.19815280995908,205.19815280995908,1,,97.0,4360.0,41.396,34.6,0.0,
