t_s,dt_s,soc_pct,voltage_mV,temperature_C,temperature_cpu_C,brightness,display_state,power_total_mW,power_cpu_mW,power_screen_mW,charge_counter_uAh,scenario,run_id,run_name,is_gps_on,wifi_on,cellular_on,gps_on_cfg,screen_on_cfg,brightness_target,cpu_test,brightness_norm
152.0,3.0,62,4037,32.5,40.966,64,OFF,912.6274484103357,155.489,0.0,2952000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
155.0,4.0,62,4037,32.3,38.702,64,OFF,1061.99192437827,109.8675,0.0,2952000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
159.0,3.0,62,4037,32.3,39.651,64,OFF,962.3491210042581,141.41,0.0,2952000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
162.0,4.0,62,4037,32.3,41.292,64,OFF,964.2699612403865,109.10125,0.0,2952000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
166.0,3.0,62,4037,32.3,36.64,64,OFF,935.9204079666838,143.32866666666666,0.0,2952000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
169.0,4.0,62,4037,32.3,37.596,64,OFF,1021.2365622976611,110.84825,0.0,2952000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
173.0,3.0,62,4037,32.3,41.441,64,OFF,957.7249456392558,144.07566666666665,0.0,2952000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
176.0,4.0,62,4037,32.2,38.598,64,OFF,1212.0661059375286,111.256,0.0,2952000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
180.0,3.0,62,4037,32.2,38.846,64,OFF,1159.193,151.36466666666666,0.0,2952000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
183.0,4.0,62,4037,32.2,38.12,64,OFF,1110.175,115.4545,0.0,2952000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
187.0,4.0,62,4037,32.2,37.513,64,OFF,1198.9889999999998,107.73375,0.0,2952000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
191.0,3.0,62,4037,32.2,39.922,64,OFF,1154.296,166.92566666666667,0.0,2952000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
194.0,4.0,62,4037,32.2,38.9,64,OFF,1081.916,125.43075,0.0,2952000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
198.0,3.0,62,4037,32.2,37.771,64,OFF,1085.1350411572566,174.46766666666667,0.0,2952000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
201.0,4.0,62,4037,32.2,36.999,64,OFF,1322.141242391181,115.393,0.0,2952000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
205.0,4.0,62,4037,32.2,38.496,64,OFF,1255.5069999999998,115.08625,0.0,2952000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
209.0,3.0,62,4037,32.2,38.132,64,OFF,1303.951,145.39266666666666,0.0,2952000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
