t_s,dt_s,soc_pct,voltage_mV,temperature_C,temperature_cpu_C,brightness,display_state,power_total_mW,power_cpu_mW,power_screen_mW,charge_counter_uAh,scenario,run_id,run_name,is_gps_on,brightness_norm
277.0,4.0,57,3947,28.8,38.653,30,ON,1795.728,113.38475,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
281.0,3.0,57,3947,28.8,36.114,30,ON,1733.6,155.456,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
284.0,4.0,57,3947,28.8,35.52,30,ON,1983.744,114.69925,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
288.0,3.0,57,3947,28.8,35.073,30,ON,1839.513,145.71133333333333,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
291.0,4.0,57,3947,28.8,36.039,30,ON,1800.1229999999998,118.205,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
295.0,4.0,57,3947,28.8,36.057,30,ON,1678.4399999999998,112.892,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
299.0,3.0,57,3947,28.8,38.25,30,ON,1917.319,156.305,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
302.0,4.0,57,3947,28.8,36.495,30,ON,2220.468,119.22225,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
306.0,3.0,57,3947,28.8,44.784,30,ON,1803.604,149.63866666666667,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
309.0,4.0,57,3947,28.7,38.813,30,ON,1943.396,112.055,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
313.0,4.0,57,3947,28.7,35.796,30,ON,1693.34,117.26625,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
317.0,3.0,57,3947,28.7,41.441,30,ON,1701.216,161.37199999999999,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
320.0,4.0,57,3947,28.7,36.285,30,ON,1821.905,113.4995,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
324.0,3.0,57,3947,28.7,38.236,30,ON,2457.05,161.91766666666666,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
327.0,4.0,57,3947,28.7,37.648,30,ON,1950.272,109.802,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
331.0,3.0,57,3947,28.7,37.671,30,ON,1845.515,139.99866666666665,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
334.0,4.0,57,3947,28.7,36.769,30,ON,1789.9699999999998,120.68625,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
338.0,4.0,57,3947,28.8,39.343,30,ON,1774.685,116.3445,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
342.0,3.0,57,3947,28.8,35.379,30,ON,1786.49,154.14033333333333,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
345.0,4.0,57,3947,28.8,42.735,30,ON,1801.772,114.9215,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
